,concept,subject,first_quarter,last_quarter,overall
131,hg06,bvv,0.9,0.9090909090909091,0.8780487804878049
132,hg06,bwh,0.6,1.0,0.8048780487804879
133,hg06,bwp,0.8,1.0,0.8292682926829268
134,hg06,bze,0.6,1.0,0.8048780487804879
135,hg06,caq,0.8,0.9090909090909091,0.7317073170731707
136,hg06,cfx,0.7,1.0,0.8292682926829268
137,hg06,cmp,0.9,0.9090909090909091,0.9024390243902439
138,hg07,abf,0.36363636363636365,0.75,0.7021276595744681
139,hg07,ach,0.36363636363636365,1.0,0.7872340425531915
140,hg07,agu,0.8181818181818182,1.0,0.9574468085106383
141,hg07,ahb,0.6363636363636364,1.0,0.8723404255319149
142,hg07,alj,0.8181818181818182,1.0,0.9574468085106383
143,hg07,als,0.6363636363636364,0.6666666666666666,0.574468085106383
144,hg07,ant,0.7272727272727273,1.0,0.8297872340425532
145,hg07,azp,0.7272727272727273,1.0,0.9361702127659575
146,hg07,bav,0.9090909090909091,1.0,0.9787234042553191
147,hg07,bdc,0.7272727272727273,1.0,0.8723404255319149
148,hg07,bfj,0.45454545454545453,0.3333333333333333,0.5531914893617021
149,hg07,bgm,0.5454545454545454,1.0,0.8936170212765957
150,hg07,bhm,0.6363636363636364,1.0,0.9148936170212766
151,hg07,biy,0.5454545454545454,1.0,0.8723404255319149
152,hg07,blc,0.5454545454545454,1.0,0.851063829787234
153,hg07,bze,0.7272727272727273,1.0,0.9361702127659575
154,hg07,cch,0.5454545454545454,1.0,0.8936170212765957
155,hg07,ceb,0.9090909090909091,1.0,0.9787234042553191
156,hg07,cfr,0.8181818181818182,1.0,0.9361702127659575
157,hg07,cft,0.9090909090909091,0.25,0.48936170212765956
158,hg07,cho,0.7272727272727273,1.0,0.9361702127659575
159,hg07,cmj,0.7272727272727273,1.0,0.9361702127659575
160,hg08,ach,0.5,1.0,0.8780487804878049
161,hg08,agv,0.5,1.0,0.7804878048780488
162,hg08,ahb,0.8,1.0,0.9512195121951219
163,hg08,aia,0.6,1.0,0.9024390243902439
164,hg08,ale,0.7,1.0,0.9024390243902439
165,hg08,alg,0.4,1.0,0.8536585365853658
166,hg08,amd,0.6,0.8181818181818182,0.7317073170731707
