,concept,overall_mean,overall_sd,overall_scores,last_quarter_mean,last_quarter_sd,last_quarter_scores
10,hg100,0.7108843537414967,0.1331318761277614,"[0.8428571428571429, 0.8857142857142857, 0.9, 0.5857142857142857, 0.6571428571428571, 0.7571428571428571, 0.9, 0.44285714285714284, 0.6142857142857143, 0.5857142857142857, 0.7428571428571429, 0.7285714285714285, 0.6857142857142857, 0.5, 0.8857142857142857, 0.6428571428571429, 0.7428571428571429, 0.5285714285714286, 0.6857142857142857, 0.8142857142857143, 0.8]",0.8386243386243386,0.1687739461136146,"[1.0, 1.0, 1.0, 0.8333333333333334, 0.8333333333333334, 0.8888888888888888, 1.0, 0.5, 0.7222222222222222, 0.7222222222222222, 1.0, 1.0, 0.7777777777777778, 0.5555555555555556, 1.0, 0.6666666666666666, 0.8888888888888888, 0.5, 1.0, 0.9444444444444444, 0.7777777777777778]"
11,hg101,0.6577922077922076,0.09722277773603297,"[0.8714285714285714, 0.6, 0.5714285714285714, 0.6142857142857143, 0.5714285714285714, 0.5571428571428572, 0.6, 0.6428571428571429, 0.7285714285714285, 0.6714285714285714, 0.7714285714285715, 0.7142857142857143, 0.5571428571428572, 0.6428571428571429, 0.7285714285714285, 0.8857142857142857, 0.7142857142857143, 0.6428571428571429, 0.4857142857142857, 0.6285714285714286, 0.5857142857142857, 0.6857142857142857]",0.6666666666666667,0.16066640121804918,"[1.0, 0.6666666666666666, 0.5, 0.5, 0.6111111111111112, 0.4444444444444444, 0.6666666666666666, 0.4444444444444444, 0.7222222222222222, 0.6111111111111112, 0.8333333333333334, 0.5555555555555556, 0.5555555555555556, 0.7222222222222222, 0.8333333333333334, 1.0, 0.8333333333333334, 0.6111111111111112, 0.5, 0.6666666666666666, 0.5555555555555556, 0.8333333333333334]"
12,hg102,0.5485232067510548,0.10448896621974509,"[0.5189873417721519, 0.620253164556962, 0.4430379746835443, 0.5569620253164557, 0.6329113924050633, 0.5063291139240507, 0.5316455696202531, 0.46835443037974683, 0.46835443037974683, 0.6962025316455697, 0.5316455696202531, 0.7088607594936709, 0.620253164556962, 0.5949367088607594, 0.4936708860759494, 0.620253164556962, 0.569620253164557, 0.569620253164557, 0.31645569620253167, 0.6329113924050633, 0.3924050632911392, 0.5316455696202531, 0.759493670886076, 0.379746835443038]",0.6104166666666667,0.21358993356949715,"[0.55, 0.95, 0.4, 0.55, 0.55, 0.65, 0.3, 0.35, 0.35, 0.95, 0.55, 1.0, 0.85, 0.45, 0.55, 0.65, 0.8, 0.6, 0.25, 0.75, 0.55, 0.65, 0.95, 0.45]"
13,hg103,0.574719800747198,0.12373498985885106,"[0.4931506849315068, 0.6164383561643836, 0.726027397260274, 0.4657534246575342, 0.5068493150684932, 0.5342465753424658, 0.5205479452054794, 0.7945205479452054, 0.5753424657534246, 0.547945205479452, 0.8082191780821918, 0.3972602739726027, 0.5616438356164384, 0.4246575342465753, 0.4931506849315068, 0.5616438356164384, 0.7397260273972602, 0.5342465753424658, 0.410958904109589, 0.5205479452054794, 0.589041095890411, 0.821917808219178]",0.562200956937799,0.2490912031937855,"[0.5263157894736842, 0.47368421052631576, 1.0, 0.5263157894736842, 0.5789473684210527, 0.5263157894736842, 0.5789473684210527, 1.0, 0.631578947368421, 0.21052631578947367, 1.0, 0.42105263157894735, 0.5263157894736842, 0.15789473684210525, 0.3157894736842105, 0.3684210526315789, 0.7894736842105263, 0.5263157894736842, 0.3157894736842105, 0.3157894736842105, 0.5789473684210527, 1.0]"
14,hg104,0.6913377192982457,0.1496369089002856,"[0.9078947368421053, 0.5263157894736842, 0.6578947368421053, 0.8552631578947368, 0.9078947368421053, 0.40789473684210525, 0.8421052631578947, 0.618421052631579, 0.6578947368421053, 0.8289473684210527, 0.7894736842105263, 0.6578947368421053, 0.618421052631579, 0.618421052631579, 0.5263157894736842, 0.4868421052631579, 0.8421052631578947, 0.5, 0.6578947368421053, 0.7894736842105263, 0.7763157894736842, 0.8947368421052632, 0.47368421052631576, 0.75]",0.7979166666666667,0.2176958728491552,"[1.0, 0.6, 0.9, 1.0, 1.0, 0.5, 1.0, 0.6, 0.8, 1.0, 1.0, 0.85, 0.75, 0.6, 0.45, 0.35, 1.0, 0.55, 0.65, 1.0, 1.0, 1.0, 0.55, 1.0]"
15,hg105,0.6780303030303029,0.13937014875299625,"[0.8055555555555556, 0.5, 0.5972222222222222, 0.8611111111111112, 0.7777777777777778, 0.5833333333333334, 0.8611111111111112, 0.7222222222222222, 0.8611111111111112, 0.6111111111111112, 0.5277777777777778, 0.4027777777777778, 0.5416666666666666, 0.875, 0.6527777777777778, 0.6388888888888888, 0.7638888888888888, 0.6666666666666666, 0.6805555555555556, 0.7916666666666666, 0.7638888888888888, 0.4305555555555556]",0.8253588516746411,0.19971420252096028,"[1.0, 0.5789473684210527, 0.9473684210526315, 1.0, 1.0, 0.631578947368421, 1.0, 0.8421052631578947, 1.0, 0.7368421052631579, 0.8947368421052632, 0.2631578947368421, 0.5263157894736842, 1.0, 1.0, 0.6842105263157895, 1.0, 0.7894736842105263, 0.8947368421052632, 0.8421052631578947, 0.9473684210526315, 0.5789473684210527]"
16,hg106,0.7280857252200537,0.061984959281249113,"[0.6538461538461539, 0.7307692307692307, 0.8076923076923077, 0.717948717948718, 0.8205128205128205, 0.5970149253731343, 0.7435897435897436, 0.6666666666666666, 0.6153846153846154, 0.7948717948717948, 0.6794871794871795, 0.6666666666666666, 0.7435897435897436, 0.6538461538461539, 0.782051282051282, 0.7051282051282052, 0.7692307692307693, 0.7051282051282052, 0.7692307692307693, 0.717948717948718, 0.7435897435897436, 0.7435897435897436, 0.8461538461538461, 0.7846153846153846, 0.7435897435897436]",0.733904761904762,0.13280213915169176,"[0.65, 0.7, 0.85, 0.75, 1.0, 0.3333333333333333, 0.75, 0.8, 0.65, 0.8, 0.6, 0.8, 0.75, 0.5, 0.8, 0.65, 0.75, 0.8, 0.75, 0.6, 0.8, 0.9, 0.9, 0.7142857142857143, 0.75]"
17,hg107,0.6747600225861095,0.1205265786810865,"[0.5974025974025974, 0.6233766233766234, 0.7402597402597403, 0.8311688311688312, 0.7662337662337663, 0.5454545454545454, 0.6883116883116883, 0.8441558441558441, 0.6233766233766234, 0.8181818181818182, 0.8701298701298701, 0.5454545454545454, 0.6363636363636364, 0.6233766233766234, 0.7402597402597403, 0.5714285714285714, 0.7922077922077922, 0.5714285714285714, 0.5454545454545454, 0.7662337662337663, 0.5844155844155844, 0.4025974025974026, 0.7922077922077922]",0.7413043478260871,0.21040962839239757,"[0.65, 0.45, 1.0, 1.0, 0.85, 0.45, 0.65, 1.0, 0.8, 1.0, 1.0, 0.55, 0.75, 0.35, 0.95, 0.6, 0.9, 0.55, 0.7, 0.8, 0.55, 0.5, 1.0]"
18,hg108,0.5921212121212122,0.11860220492021874,"[0.6363636363636364, 0.7121212121212122, 0.5151515151515151, 0.4696969696969697, 0.5, 0.5757575757575758, 0.5303030303030303, 0.5757575757575758, 0.9393939393939394, 0.4696969696969697, 0.5151515151515151, 0.5757575757575758, 0.6060606060606061, 0.5303030303030303, 0.696969696969697, 0.5, 0.6666666666666666, 0.8333333333333334, 0.5, 0.42424242424242425, 0.48484848484848486, 0.6666666666666666, 0.5757575757575758, 0.5757575757575758, 0.7272727272727273]",0.6352941176470588,0.181497042594606,"[0.7058823529411765, 0.7058823529411765, 0.47058823529411764, 0.5294117647058824, 0.47058823529411764, 0.5882352941176471, 0.5294117647058824, 0.6470588235294118, 1.0, 0.35294117647058826, 0.7058823529411765, 0.5882352941176471, 0.6470588235294118, 0.47058823529411764, 0.7647058823529411, 0.47058823529411764, 0.8235294117647058, 0.8823529411764706, 0.5882352941176471, 0.35294117647058826, 0.29411764705882354, 0.7647058823529411, 0.8235294117647058, 0.8235294117647058, 0.8823529411764706]"
19,hg109,0.837128205128205,0.08279191377298444,"[0.8589743589743589, 0.8076923076923077, 0.8076923076923077, 0.8461538461538461, 0.9230769230769231, 0.8, 0.8589743589743589, 0.5384615384615384, 0.8076923076923077, 0.8846153846153846, 0.9487179487179487, 0.9102564102564102, 0.8076923076923077, 0.7051282051282052, 0.9358974358974359, 0.8333333333333334, 0.8846153846153846, 0.8333333333333334, 0.7692307692307693, 0.8589743589743589, 0.8846153846153846, 0.8974358974358975, 0.9102564102564102, 0.782051282051282, 0.8333333333333334]",0.8705882352941177,0.09522146831298949,"[0.95, 0.8, 0.8, 0.9, 1.0, 0.7647058823529411, 0.85, 0.7, 0.85, 1.0, 1.0, 1.0, 0.7, 0.8, 1.0, 0.85, 0.8, 0.85, 0.8, 0.85, 0.85, 1.0, 1.0, 0.8, 0.85]"
