,concept,overall_mean,overall_sd,last_quarter_mean,last_quarter_sd
0,hg01,0.9050802139037433,0.029320470854894802,1.0,0.0
1,hg02,0.8011904761904762,0.1563607883873854,0.9227272727272728,0.16830462346885108
2,hg03,0.9026086956521739,0.08365922414473527,0.9933333333333333,0.022607766610417572
3,hg04,0.8850241545893721,0.11248468354743338,0.9311594202898551,0.18166595850321268
4,hg05,0.8891666666666667,0.08205265924324993,0.9583333333333334,0.10873843239543189
5,hg06,0.7643770923003349,0.12485981646394931,0.8333333333333334,0.2748235931396523
6,hg07,0.8481624758220504,0.1386760866936978,0.9090909090909091,0.21306607743068534
7,hg08,0.8216463414634148,0.1287927607379602,0.9230769230769231,0.14194253937191917
8,hg09,0.8376811594202899,0.12646305910690764,0.9347826086956522,0.16839058026988768
9,hg10,0.8430540827147404,0.05609345134862437,0.9565217391304348,0.10337309747527289
10,hg100,0.6002415458937198,0.13477957851596983,0.7217391304347825,0.19990545969691564
11,hg101,0.6300570757092495,0.08814661694655337,0.7521739130434782,0.2123769520316489
12,hg102,0.4774305555555556,0.07485437894899341,0.532051282051282,0.1689926452110778
13,hg103,0.5717703349282296,0.07941718982152071,0.5,0.2
14,hg104,0.5824390243902439,0.13785472873421606,0.6763636363636364,0.21830299665168923
15,hg105,0.5956439393939393,0.1406911447847547,0.7202797202797202,0.22906768327495383
16,hg106,0.6941666666666667,0.059137316664033907,0.7723076923076924,0.11813140812586133
17,hg107,0.618239660657476,0.08619014115043944,0.557312252964427,0.19013460032894375
18,hg108,0.5295238095238095,0.11995463995301935,0.5927272727272727,0.18916082623476296
19,hg109,0.7859459459459459,0.08780082380214899,0.9079999999999999,0.15210522673465235
20,hg11,0.8321256038647344,0.07573147539415885,0.9521739130434783,0.08782178207271371
21,hg110,0.78,0.1531649572592615,0.8766666666666667,0.19595917942265423
22,hg111,0.5777591973244147,0.10959239048702972,0.577639751552795,0.18108546257283542
23,hg112,0.7091891891891892,0.1259076615052166,0.764,0.21331666601557417
24,hg12,0.7604070305272894,0.09983894588885876,0.8804347826086958,0.16268075594669312
25,hg13,0.8072855464159814,0.13343331412075307,0.9043478260869565,0.13014460475735448
26,hg14,0.7668825161887141,0.12711543930359429,0.8043478260869567,0.18159368240785023
27,hg15,0.6120039682539682,0.11460750964627818,0.73015873015873,0.2629986418567633
28,hg16,0.6633906633906634,0.13506810935513272,0.7454545454545454,0.23301828396320537
29,hg17,0.6147186147186147,0.09552053750483215,0.7658730158730158,0.19179438053324718
30,hg18,0.8845454545454545,0.08404052544668776,0.9566666666666667,0.06289320754704403
31,hg19,0.7942583732057416,0.15316610815798196,0.9272727272727274,0.16287702606517196
32,hg20,0.8375959079283887,0.08358125134715186,0.966183574879227,0.06899930848833673
33,hg21,0.7788461538461539,0.12051847035581101,0.8557692307692307,0.16755802080266322
34,hg22,0.7870813397129186,0.1350986402248373,0.9045454545454544,0.18458127731133592
35,hg23,0.8712121212121212,0.12974831949797458,0.9586776859504131,0.12479065182265701
36,hg24,0.7875,0.12334126714858326,0.9132231404958678,0.20415899714108474
37,hg25,0.7613636363636366,0.07835592280496466,0.8939393939393938,0.11287624564963135
38,hg26,0.7497231450719822,0.11570283841957012,0.8311688311688312,0.1713104669905574
39,hg27,0.6715116279069768,0.1550357315595754,0.7159090909090908,0.2216151890350011
40,hg28,0.6847567287784678,0.12220184215849134,0.7222222222222222,0.26859832785852383
41,hg29,0.7043478260869563,0.16544606600383,0.7944664031620554,0.25743335158788583
42,hg30,0.7445887445887446,0.12700667188035153,0.8134920634920635,0.1852796433322024
43,hg31,0.7869565217391303,0.10288834405390637,0.79,0.14165686240583852
44,hg32,0.6858108108108109,0.1542381743097811,0.6208333333333333,0.27534700329261297
45,hg33,0.8203463203463203,0.08785586035758614,0.9087301587301587,0.09238449783192708
46,hg34,0.717948717948718,0.0983760312474404,0.7959999999999999,0.1684755175092215
47,hg35,0.7701863354037267,0.10772414106175801,0.7971014492753624,0.16268075594669312
48,hg36,0.6593406593406593,0.08266818500518074,0.8,0.09258200997725516
49,hg37,0.7291666666666665,0.089526790941574,0.64,0.19595917942265426
50,hg38,0.6485421591804569,0.10885548664013399,0.5864197530864198,0.21213383058567387
51,hg39,0.7069444444444444,0.10373986638001423,0.845,0.15321553446044564
52,hg40,0.6218402426693629,0.09655027216243608,0.6047430830039525,0.22042440306084876
53,hg41,0.6389542483660131,0.0911132678545569,0.67,0.17869900204906947
54,hg42,0.7351652173913042,0.14459404459233097,0.860854700854701,0.15412169058033873
55,hg43,0.8536585365853658,0.120993054535335,0.9525691699604744,0.15369345529821016
56,hg44,0.6762820512820512,0.09001104833931593,0.7797202797202798,0.24206816686253113
57,hg45,0.6313799621928166,0.10266408201863526,0.6630434782608696,0.2106440848369367
58,hg46,0.8142389525368251,0.11795604812615176,0.9358974358974359,0.11395121047840497
59,hg47,0.6388888888888888,0.0971295854958767,0.6006944444444445,0.09912571127514026
60,hg48,0.6916666666666668,0.1466123507958852,0.7268518518518517,0.20280737142416214
61,hg49,0.6300211416490484,0.08114097700801474,0.7272727272727273,0.1733568344082895
