,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
23,hg11,0.7,0.8,0.6,gemma_2b-it,0.0,4.545454545454546,-0.19999999999999996
24,hg12,0.5490196078431373,0.6666666666666666,0.4166666666666667,gemma_2b-it,0.0,4.3478260869565215,-0.33333333333333337
25,hg13,0.48717948717948717,0.5555555555555556,0.3333333333333333,gemma_2b-it,0.0,0.0,-0.4444444444444444
26,hg14,0.5918367346938775,0.4166666666666667,0.6666666666666666,gemma_2b-it,14.285714285714285,4.761904761904762,-0.5833333333333333
27,hg15,0.5,0.6363636363636364,0.45454545454545453,gemma_2b-it,5.2631578947368425,36.8421052631579,-0.3136363636363636
28,hg16,0.47368421052631576,0.3333333333333333,0.4444444444444444,gemma_2b-it,9.090909090909092,4.545454545454546,-0.607843137254902
29,hg17,0.4166666666666667,0.6666666666666666,0.16666666666666666,gemma_2b-it,0.0,33.333333333333336,-0.1428571428571429
30,hg18,0.7777777777777778,0.5454545454545454,0.8181818181818182,gemma_2b-it,12.0,0.0,-0.4545454545454546
31,hg19,0.5641025641025641,0.8888888888888888,0.4444444444444444,gemma_2b-it,9.090909090909092,13.636363636363637,-0.11111111111111116
32,hg20,0.5945945945945946,0.6666666666666666,0.5555555555555556,gemma_2b-it,0.0,0.0,-0.33333333333333337
33,hg21,0.6326530612244898,0.75,0.4166666666666667,gemma_2b-it,8.0,24.0,-0.25
34,hg22,0.7692307692307693,0.8888888888888888,0.6666666666666666,gemma_2b-it,31.81818181818182,31.81818181818182,-0.11111111111111116
35,hg23,0.6086956521739131,0.8181818181818182,0.45454545454545453,gemma_2b-it,4.545454545454546,9.090909090909092,-0.18181818181818177
36,hg24,0.6428571428571429,0.8,0.5,gemma_2b-it,9.090909090909092,9.090909090909092,-0.19999999999999996
37,hg25,0.6170212765957447,0.5454545454545454,0.45454545454545453,gemma_2b-it,9.090909090909092,4.545454545454546,-0.4545454545454546
38,hg26,0.6382978723404256,0.7272727272727273,0.45454545454545453,gemma_2b-it,4.761904761904762,9.523809523809524,-0.07272727272727275
39,hg27,0.45454545454545453,0.6363636363636364,0.0,gemma_2b-it,4.3478260869565215,8.695652173913043,-0.3136363636363636
40,hg28,0.6470588235294118,0.6666666666666666,0.5833333333333334,gemma_2b-it,26.08695652173913,30.43478260869565,-0.2833333333333333
41,hg29,0.6904761904761905,0.9,0.4,gemma_2b-it,21.73913043478261,30.43478260869565,-0.09999999999999998
42,hg30,0.6666666666666666,0.5454545454545454,0.36363636363636365,gemma_2b-it,14.285714285714285,9.523809523809524,-0.4019138755980861
43,hg31,0.48,0.5833333333333334,0.3333333333333333,gemma_2b-it,4.0,8.0,-0.36904761904761896
44,hg32,0.75,0.6,0.9,gemma_2b-it,50.0,8.333333333333334,-0.37222222222222223
45,hg33,0.6808510638297872,0.6363636363636364,0.5454545454545454,gemma_2b-it,4.761904761904762,4.761904761904762,-0.30808080808080807
46,hg34,0.7142857142857143,0.6,0.8,gemma_2b-it,36.0,4.0,-0.1777777777777778
