,concept,subject,first_quarter,last_quarter,overall
48,hg03,aof,0.8,1.0,0.9512195121951219
49,hg03,aog,0.85,1.0,0.9634146341463414
50,hg03,aqx,0.65,1.0,0.9146341463414634
51,hg03,asq,0.5,0.5,0.5633802816901409
52,hg03,avj,0.85,0.9523809523809523,0.9512195121951219
53,hg03,bbl,0.55,1.0,0.8902439024390244
54,hg03,bdf,0.85,1.0,0.9634146341463414
55,hg03,bfs,0.9,1.0,0.975609756097561
56,hg03,bhm,0.85,1.0,0.9634146341463414
57,hg03,bjr,0.9,1.0,0.975609756097561
58,hg03,bnw,0.85,0.8823529411764706,0.9230769230769231
59,hg03,bvr,0.85,1.0,0.9634146341463414
60,hg03,bwh,0.85,1.0,0.9634146341463414
61,hg03,bzv,0.8,1.0,0.9512195121951219
62,hg03,cfr,0.9,1.0,0.975609756097561
63,hg03,cik,0.8,1.0,0.9512195121951219
64,hg03,cjr,0.7,1.0,0.926829268292683
65,hg03,cki,0.8,1.0,0.9512195121951219
66,hg03,cmx,0.85,1.0,0.9512195121951219
67,hg04,abx,0.8235294117647058,1.0,0.9428571428571428
68,hg04,acq,0.8823529411764706,1.0,0.9714285714285714
69,hg04,ahj,0.7058823529411765,1.0,0.9285714285714286
70,hg04,ajx,0.8235294117647058,1.0,0.9571428571428572
71,hg04,akn,0.5294117647058824,0.4444444444444444,0.44285714285714284
72,hg04,amv,0.8823529411764706,1.0,0.9714285714285714
73,hg04,aof,0.9411764705882353,1.0,0.9714285714285714
74,hg04,aui,0.8823529411764706,1.0,0.9714285714285714
75,hg04,aum,0.8235294117647058,1.0,0.9428571428571428
76,hg04,awi,0.7058823529411765,1.0,0.9142857142857143
77,hg04,azp,0.7058823529411765,1.0,0.9142857142857143
78,hg04,bji,0.8823529411764706,1.0,0.9714285714285714
79,hg04,bks,0.6470588235294118,0.8333333333333334,0.7285714285714285
80,hg04,bms,0.8823529411764706,1.0,0.9714285714285714
81,hg04,bni,0.8823529411764706,1.0,0.9714285714285714
82,hg04,bpu,0.8823529411764706,1.0,0.9571428571428572
83,hg04,bup,0.8235294117647058,1.0,0.9428571428571428
84,hg04,bvv,0.8823529411764706,1.0,0.9571428571428572
85,hg04,caq,0.8235294117647058,1.0,0.9571428571428572
86,hg04,cch,0.5882352941176471,1.0,0.9
87,hg04,cdn,0.8235294117647058,1.0,0.9571428571428572
88,hg04,cmj,0.7647058823529411,1.0,0.9428571428571428
89,hg05,abi,0.6818181818181818,1.0,0.9213483146067416
90,hg05,agh,0.7727272727272727,1.0,0.9213483146067416
91,hg05,agu,0.8181818181818182,0.9565217391304348,0.9438202247191011
92,hg05,aht,0.7727272727272727,1.0,0.9438202247191011
93,hg05,ane,0.8181818181818182,1.0,0.9550561797752809
94,hg05,arn,0.7727272727272727,1.0,0.9325842696629213
95,hg05,bbb,0.7727272727272727,1.0,0.9325842696629213
96,hg05,bbl,0.9090909090909091,1.0,0.9775280898876404
97,hg05,bcr,0.9090909090909091,0.9565217391304348,0.9662921348314607
98,hg05,bdk,0.7272727272727273,0.5652173913043478,0.6292134831460674
99,hg05,bhm,0.8181818181818182,1.0,0.9550561797752809
100,hg05,bji,0.8181818181818182,1.0,0.9550561797752809
101,hg05,boh,0.7272727272727273,1.0,0.9325842696629213
102,hg05,btv,0.6363636363636364,1.0,0.9101123595505618
103,hg05,bzk,0.7727272727272727,0.9565217391304348,0.8202247191011236
104,hg05,bzw,0.8636363636363636,1.0,0.9550561797752809
105,hg05,cac,0.9545454545454546,0.9130434782608695,0.9550561797752809
106,hg05,cbg,0.8181818181818182,0.9565217391304348,0.9325842696629213
107,hg05,cck,0.6818181818181818,1.0,0.8314606741573034
