,concept,listnum,first_quarter_sd,first_quarter_se,first_quarter_mean,overall_mean,overall_se,overall_sd,last_quarter_se,last_quarter_mean,last_quarter_firstquartile,last_quarter_firstdecile,last_quarter_firstquintile,last_quarter_median,last_quarter_thirdquartile,last_quarter_firstpercentile,last_quarter_fifthpercentile,last_quarter_sd
28,hg104,L1,0.25049193099521094,0.01924058752141999,0.577639751552795,0.703416149068323,0.03471944804536543,0.16284864628435275,0.05340505912947912,0.7971014492753623,0.6428571428571428,0.43809523809523804,0.5619047619047619,0.9047619047619048,1.0,0.238095238095238,0.25714285714285706,0.25049193099521094
29,hg104,L2,0.2171384876225713,0.031198310925874037,0.5372807017543859,0.6913377192982457,0.031201452380654936,0.14963690890028564,0.04527650451585984,0.8026315789473685,0.631578947368421,0.4894736842105263,0.6105263157894737,0.8947368421052632,1.0,0.3521052631578947,0.4736842105263157,0.2171384876225713
30,hg105,L1,0.2326005631043124,0.02569569986940022,0.5720823798627002,0.6504576659038902,0.03031349644083746,0.14218290144145543,0.049590606678557775,0.7185354691075515,0.4736842105263157,0.431578947368421,0.4736842105263157,0.7368421052631579,1.0,0.37999999999999995,0.4210526315789473,0.2326005631043124
31,hg105,L2,0.19769679319242253,0.02361193098405999,0.4696969696969697,0.6780303030303029,0.03041305982275527,0.13937014875299628,0.04314097711687174,0.8257575757575758,0.6805555555555556,0.5611111111111111,0.6222222222222222,0.8888888888888888,1.0,0.33611111111111114,0.5555555555555556,0.19769679319242253
32,hg106,L1,0.12109500402576483,0.019131126469708992,0.504,0.6103896103896104,0.015638434517912074,0.07661236988962405,0.02471841418861655,0.6560000000000001,0.55,0.5,0.55,0.65,0.75,0.5,0.5,0.12109500402576483
33,hg106,L2,0.10882600878942458,0.01721751107875455,0.7000000000000001,0.7313266443701226,0.012210006964259145,0.05727000909271492,0.02320178303202728,0.7521739130434782,0.675,0.61,0.65,0.75,0.8,0.522,0.6,0.10882600878942458
34,hg107,L1,0.17921072165068902,0.03069053708439898,0.5601023017902813,0.6406649616368287,0.018648127224217177,0.08746746982366059,0.03820785423453281,0.741687979539642,0.5882352941176471,0.5294117647058824,0.5882352941176471,0.8235294117647058,0.8529411764705882,0.4117647058823529,0.4235294117647059,0.17921072165068902
35,hg107,L2,0.21040962839239757,0.023081108807361948,0.5543478260869565,0.6747600225861095,0.02569635291469849,0.1205265786810865,0.04485948350137696,0.7413043478260871,0.55,0.46,0.55,0.75,0.975,0.372,0.45,0.21040962839239757
36,hg108,L1,0.12988337549696916,0.01647315495319187,0.5340909090909091,0.5980392156862745,0.017355746542588785,0.08323523637957303,0.027082555937505543,0.6571969696969697,0.5340909090909091,0.5,0.5,0.6590909090909091,0.7727272727272727,0.43000000000000005,0.5,0.12988337549696916
37,hg108,L2,0.18149704259460603,0.02685344049532548,0.5129411764705882,0.5921212121212122,0.024209573701962035,0.11860220492021877,0.03704792868174742,0.6352941176470588,0.4705882352941176,0.4,0.4705882352941176,0.6470588235294118,0.7647058823529411,0.308235294117647,0.3529411764705882,0.18149704259460603
38,hg109,L1,0.16648891721909514,0.02699475001111349,0.6884210526315789,0.7583561643835616,0.022241896172102347,0.10896259306722626,0.033984407917937595,0.7663157894736843,0.631578947368421,0.6,0.631578947368421,0.7894736842105263,0.8947368421052632,0.3810526315789473,0.4526315789473684,0.16648891721909514
39,hg109,L2,0.09464847243000456,0.019329803525846456,0.7125,0.8386752136752137,0.01754531314580275,0.08414436587103388,0.019735570770139602,0.875,0.8,0.8,0.8,0.85,1.0,0.7,0.715,0.09464847243000456
40,hg11,L1,0.11254016730127223,0.027259195777340733,0.6204545454545455,0.8339160839160837,0.022149268351171026,0.10150069880713096,0.02455827787528924,0.927272727272727,0.9,0.755,0.86,1.0,1.0,0.65,0.655,0.11254016730127223
41,hg11,L2,0.0461872759838672,0.022290168981308096,0.7454545454545454,0.9102715466351832,0.01205120852259557,0.055225575270491135,0.010078889920947019,0.984090909090909,1.0,0.955,1.0,1.0,1.0,0.8210000000000001,0.9025,0.0461872759838672
42,hg110,L1,0.07245178964357059,0.03130456559773555,0.7727272727272726,0.7606196901549225,0.017277719398134828,0.08103968735881856,0.015446773453255248,0.6482213438735178,0.5909090909090909,0.5454545454545454,0.5909090909090909,0.6363636363636364,0.6818181818181818,0.51,0.5454545454545454,0.07245178964357059
43,hg110,L2,0.11654432929289679,0.0413908721422388,0.7391304347826085,0.7512077294685989,0.02384796599469272,0.11185687554123995,0.024847334492429752,0.6473429951690821,0.6111111111111112,0.45555555555555555,0.5777777777777778,0.6666666666666666,0.7222222222222222,0.4011111111111111,0.4444444444444444,0.11654432929289679
44,hg111,L1,0.22440848522719897,0.021981260277851376,0.39826086956521733,0.5833707865168539,0.03264181925481133,0.15991160290088557,0.04580719022979452,0.6956521739130435,0.4782608695652174,0.4347826086956521,0.4782608695652174,0.6521739130434783,0.9130434782608696,0.391304347826087,0.4,0.22440848522719897
45,hg111,L2,0.18839209834859724,0.022940638042227523,0.6389413988657845,0.6008793356130924,0.027737898254339005,0.13010227511653044,0.040165330323657544,0.6559546313799621,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.6086956521739131,0.7608695652173914,0.37652173913043474,0.4782608695652174,0.18839209834859724
46,hg112,L1,0.20347999079258197,0.02629124234166794,0.5763888888888888,0.7536231884057972,0.03136863570788919,0.15043869197120796,0.0424285110524542,0.8773148148148149,0.875,0.5333333333333333,0.788888888888889,1.0,1.0,0.3461111111111111,0.40555555555555556,0.20347999079258197
47,hg112,L2,0.14913947840596864,0.025352931639572193,0.6087962962962963,0.7737268518518517,0.0262444022941806,0.12586373183293195,0.031097730952598306,0.8495370370370371,0.7222222222222222,0.6277777777777778,0.7,0.9444444444444444,0.9444444444444444,0.5127777777777778,0.5638888888888889,0.14913947840596864
48,hg12,L1,0.11163556780883054,0.022337375256133683,0.6325,0.7954098360655739,0.023983780239838163,0.1174960473812989,0.022787514856458864,0.915,0.875,0.775,0.8125,0.9375,1.0,0.625,0.65,0.11163556780883054
49,hg12,L2,0.13800071343949483,0.025175160662270508,0.6521739130434784,0.8199488491048595,0.024334458317862878,0.11413872680087038,0.029421850962885614,0.909090909090909,0.8636363636363636,0.7363636363636363,0.8090909090909091,1.0,1.0,0.5045454545454545,0.6863636363636363,0.13800071343949483
50,hg13,L1,0.12956351184306494,0.03127741544185763,0.7210526315789473,0.8773972602739726,0.021209606524272905,0.09245053147156655,0.029723908152323966,0.9578947368421054,1.0,0.8894736842105263,1.0,1.0,1.0,0.5010526315789473,0.8210526315789474,0.12956351184306494
51,hg13,L2,0.07214591656949404,0.040343332616214846,0.7459954233409611,0.8838594401429423,0.021250982435119987,0.09967594292541766,0.015381561094748232,0.9656750572082381,0.9473684210526316,0.9052631578947369,0.9473684210526316,1.0,1.0,0.7189473684210527,0.8473684210526315,0.07214591656949404
